فارسی,بلوچی
به رسمیت شناختن,پجار
شناختن,پجار
سفارش,سپارشست
توصیه شده,سفارش کرتگین
بهبود می یابند,وش بوگ
مستطیل,مسطتیل
سرخ,سهر
از گرو در اوردن,یل کنائینگ
رستگاری,یلهی
کاهش دادن,کم
زائد,بی کار
مرجع,شوندات
منعکس کنند,لگگ
بازتاب,لگگ
خودداری,پرهیز
بازپرداخت,واتر کنگ
انکار,بجتگ
احترام,درگت
در باره,بابت ء
بدون در نظر داشت,ایشی
ثبت نام,نبشته بکن
پشیمانی,اپسوز
به طور منظم,یکوئی
مربوط بودن,نزیک
مرتبط,سیالی داروکین
خویشاوند,سیاد
بستگان,سیاد
آروم باش,ارام کن
رهایی,یل کنگ
منتشر شد,یل کنگ
قابل اعتماد,بهیسه این
مسکن,کمک
راحت شد,ارام
دین,دین
دینی,نیکراه
مذبذب,ا ترس انت
تکیه,بهیسه
باقی ماندن,پشت کپگ
باقی مانده است,پشت کپتگین
قابل توجه,مزنین
درمان,دوا
بیاد داشتن,یات بدار
به یاد آوردن,یات دیائینگ
یادآور,ترانگیج
از راه دور,دور
ارائه دادن,دیگ
تکرار,پدا
جایگزین کردن,بدل ئی کن
گزارش,اهوال
نمایندگی کند,پیش کنگ
نیازمند بودن,گزرین
نجات,رکهین
تحقیق,پولکاری
شبیه,همگونگ
رنجش,نوشی
رزرو,بکنگ
مقیم,نندوک
استعفا دهد,یل کتگ
انعطاف پذیری,تاگت
ارتجاعی,لیس
مقاومت کردن,گهگیر
مقاومت,گهگیری
قطعنامه,کولبند
برطرف کردن,گیشوار
رفت و آمد مکرر,سواد جاه
منابع,شوندات
پاسخ دادن,پسو به دی
مسئول,زمهوار
استراحت,ارام
روحش شاد,ارام
رستورانت,ورگجاه
بازگرداندن,بود دیگ
نتایج,اسران
سرگیری,پدا بندات به کن
خرده فروشی,لس نر‌‌‌‍‌‌‍خ ‌
بازنشسته,هلاس
عقب نشینی,پشت
بازیابی,واتر گرگ
برگشتاندن,واتری
علنی شدن,پدر کنگ
آشکار کرد,پدر
انتقام گرفتن,بیر
عواید,امدن
معکوس,چپ
بازنگری,چمشانک
تجدید نظر کنید,دوارچاری
تجدید نظر,دوار چاری
انقلاب,اشوب
ریتم,ساز
برنج,برنج
ثروتمند,سیر
خلاص شدن از شر,رکهینگ
سواری,تاچگ
همین الان,انون
سفت و سخت,ترند
آبکشی کنید,شودگ
شورش,شورش
رسیده,پهته این
صعود,چست کنگ
رقیب,دیم ء
رودخانه,کور
جاده,راه
کباب,بریجگ
سنگ,سنگ
میله,لٹ
نقش,کرد
رول,رول
اتاق,کۆٹی
ریشه,روتگ
طناب,چیلک
پوسیده,پون
گرد,گول
روال,هر وهدی هساب
مالیدن,لتارگ
لاستیک,ربڑ
بی ادب,مزن گند
قالیچه,جل
خراب کردن,بربادی
خط کش,هاکم
قوانین,راهبند
در حال اجرا,روگ
دهات,کوچگی
عجله,زوت
گونی,گونی
مقدس,پاکین
قربانی,کربان
مصئون,دیمپان
پرواز ایمن,دیمپانین بال
ایمنی,امان
حکیم,حکیم
گفته شد,گوشت ئی
سفر دریایی,گراب
کشتیرانی,ناهدائی
معاش,پگار
فروش,بها
ماهی سالمون,سارم
نمک,واد
اینجا هم همینطور,ادا اون هما
شن,ریک
سانسکریت,سنسکرت
طعنه آمیز,کندگ
گستاخ,سیسی
نشست,نشت
رضایت,دلجمی
راضی کردن,دلجم
رضایت بخش,دلجمی
شنبه,شمبی
سوسیس,سورین ورگ
وحشی,وکشی
دید,دیستگ
مقیاس,کیلو
کلاهبرداری,دگاه
جای زخم,داگ
کمیاب,نایاپت
روسری,چادر
پراکنده شده است,شنگ شانگین
صحنه,ندارگ
منظره,ندارگ
رایحه,وشبو
جدول,شیڈول
مکتب,وانگجاه
دانشمند,سائنس زانت
دانشمندان,سائنسدانان
قیچی,مگراز
سرزنش کردن,نهر
محدوده,ارزشت
نمره,حساب
باطله,خوردگ
خاریدن,کچگ
فریاد زدن,کوکار
صفحه نمایش,دیم
پیچ,پیچ کش
اسکریپت,سیاهگ
بحر,زر
قفل,بند
جستجو کردن,شوهاز کن
فصل,بوم
صندلی,نندجاه
دوم,دومی
راز,راز
امن است,دیمپان
امنیت,دیمپانی
دیدن,بچار
به امید دیدار,هوار این
بعدا میبینمت,پدا ترا گندان
به زودی میبینمت,زوت ترا گندان
فردا می بینمت,باندا گندان انشاء الله
دانه,توم
سعی کردن,شوهاز کن
به نظر می رسد,لگگ
مشاهده گردید,دیست
تصاحب کردن,زورگرگ
تشنج,جنسی رد هیالی
انتخاب کنید,گچین
خود درمانی,وت وش بوگ
خودخواه,وت غرض
عکستو برام بفرست,وتی عکس ء دیم دئی
ارشد,مسترین
حس,مارشت
حساس,سنچی
ارسال شد,دیم دات
جمله,گالرد
جمله ها,گالبندان
جدا,جتائین
سپدی,سپیڈی
سپتامبر,ستمبر
توالی,ردا
سلسله,سیریز
جدی,سنگین
به طور جدی,دلپهکی
خدمت,هذمت کنگ
قرار گرفته,نند
برپایی,جوڑ کن
تنظیمات,شر کنگ
حل کن,اباد
هفت,هپت
هفده,هبده
هفتاد,هپتاد
دوختن,دوچگی
ش,ش
سایه,ساهگ
تکان دادن,سرینگ
ممکن در آینده,کنت
شرم,لج
شکل,دروشم
تیز,تیز
او (مونث),ا
دهنه,ریچگ
گوسفند,میش
ورق,تاکدیم
تاقچه,دکانی
پوسته,کچک
پناهگاه,پناه
سپر,اسپر
نوبت,نوبت
درخشیدن,روژناه
کشتی,زری گراب
حمل دریایی,گراب تاچی
پیراهن,پشک
کفش ها,چمپلان
شلیک,تیر بجن
فروشگاه,دکان
خرید کردن,سودایی
کوتاه,لک
کمبود,تنگی
شانه,کوپگ
فریاد,کوکار
به من نشان بده,منا پیشدار
شاور,اپشار
میگو,مدگ
کوچک شدن,نز ایگ
دهان را ببند,بس کنگ
شرمگین,لجو
خواهر و برادر,برات گهار
خواهر یا برادر,برات گهار
سمت,نیمگ
تماشا,سیل و سواد
علامت,نشان
امضا,دزرند
سکوت,بی تواری
ابریشم,ریشمی
نقره,نگره
ساده,ساده
همزمان,یکین وهد ء
پس از,هما وهد
خالصانه,دلپهک
آواز خواندن,سوت
خواننده,گشنده
مجرد,یک
کاسه شویی,بڈگ
آقا,واجه
خواهر,گهار
خواهر شوهر,نشار
بنشین,نندگ
سایت,هند
وضعیت,جاورهال
شش,شش
شانزده,شانزده
شصت,شست
اندازه,کچ
مهارت ها,هنر
پوست,پوست
لاغر,لاگر
جست و خیز کردن,یل کن
دامن,پوشاک
آسمان,ازمان
برده,گلام
خواب آلود,وابینگ
آستین,استونک
تکه,بهر
اسلاید,شترگ
تاحدی,کمی
باریک,بارگ
لیز خوردن,شترگ
اسلات,اسلات
آهسته. تدریجی,نزور
به آرامی,میزانا
کوچک,کسان
هوشیار,هژار
بو,بوه
لبخند,بچکندگ
دود,دوت
لشم,یک هساب
خوراک مختصر,مار
حلزون,کشک
مار,مار
ضربه محکم و ناگهانی,اناگت
برف,برپ
پس,گڈا
خیلی ناز,باز زیبدار
تا حالا,انوگ
خیس خوردن,زورگ
صابون,سابون
اجتماعی,راجی
جامعه,چاگرد
جوراب,جوراب
نرم,شرد
نرم افزار,سافٹ وئیر
فروخته شد,بها
فروخته شده,بها بوت
سرباز,سپاهیگ
جامد,سک
حل,گیشواری
بعضی,لهتین
کسی,لهتین مردم
به نحوی,کجام نان کجام وڑا
بعضی اوقات,بری بری
ترانه,سوت
سورانی,سورانی
گلو درد,گٹ
غم و اندوه,گم
متاسفم,بکش
مرتب سازی,نچینگ
جستجو کرد,لوٹائینته
هم روح,همراه
صدا,توار
سوپ,اپشک
ترش,ترپش
منبع,بنزه
جنوب,زربار
فضا,جاه
هرزنامه ها,انچائین
اسپانیایی,اسپنی
گپ زدن,بگوش
خاص,هاس
دیدنی,ڈولدار
سخن,گوشتانک
بی حرف,بی توار
املا,گوندۆ
صرف کرد,هرچ
تند,سوچاک
سنبله,سپاهیک
چرخش,ترینگ
اسفناج,پالک
تف انداختن,تک جنگ
فرق,شنگ شانگ
خراب,هراب
خود جوش,اناگت
قاشق,چمچی
همسر,لوگواجه
گسترش,جتائین
بهار,بهار
مربع,چارکنڈ
چلاندن,پرنچگ
سنجاب,اردک
چاقو زدن,وار
پایدار,مهکم
پشته,سر پا سر
لکه دار کردن,پولنگ
پله ها,پدیانک
سهام,جان ٹنگین ازیت
ساقه,شکار
غرفه,اسٹال
مهر,ٹپه
قیام,پادا بوشت
استاندارد,بستاری
ستاره,استال
آغاز شده,بندات کرتگ
گرسنگی,گژن
بیانیه,جار تاک
ایستگاه,اسٹیشن
مجسمه,بت
ماندن,نندگ
ایمن بمان,دیمپان بو
ثابت,مهکم
استیک,اسٹیک
کش رفتن,دزی
بخار,پاهار
فولاد,اسٹیل
شیب تند,اوشتاتگین
گام,گام
چوب,لٹ
سفت,سکین
تا حال,انوگ
نیش,ڈنک
خسیس,بهیل
هم بزنید,ڈاه
به سرقت رفته,دزی
معده,سگندانک
ایستاد,اوشتاتگین
توقف,اوشت
ذخیره سازی,امبار
دوکان,امبار
اجاق گاز,چل
سرراست,تچکین
غریبه,درین
استراتژی,کار راهبند
پوشال,پگ
توت فرنگی,اسٹرابیری
دریا,کور
کوچه,دمک
کش آمدن,کشگ
سختگیر,سکین
زدن,جاک
رشته,رێز
نوار,پٹی
تلاش کردن,جهد
قوی,مهکم
رخ داد,کشت
ساختار,ساخت
در حال مبارزه,جهد
قاطع,یکڈک /جاهل
بند مانده,گٹگ
دانشجو,نودربر
در حال مطالعه,وانگ
شئ,سامان
سبک,لس
موضوع,سرهال
ثبت,جم کن
جایگزین,بدل
نامحسوس,شر
موفق شدن,سوبمند
موفقیت,سوبمندی
کامیاب,سوبمند
مکیدن,چونسگ
ناگهانی,اناگت
رنج کشیدن,رنج
قند,شکر
مشوره دادن,شئور دی
دریشی,پوشاک
چمدان,پیتی
مجموع,زر
تابستان,گرماگ
اجلاس,سروکی دیوان
آفتاب,روچ
یکشنبه,یکشمبی
آفتابی,پیتاپ
غروب آفتاب,روبرکت
فوق العاده,جوان
برتر,برز تر
سرپرست,راهشون
عصرانه,مزنین
عرضه,پجار
حمایت,کمک
فرض می شود,زانگ بیت
سطح,سر بر
موج,گیشی
عمل جراحی,برو برین
تخلص,سرنام
تعجب,هیرانگی
غافلگیر شدن,هیران
تسلیم شدن,سلحه ان چگل دیگ
اطراف,کر و گور
نظارت,نگهوانی
سروی,گۆلگ
زنده ماندن,زندگ بوگ
مشکوک,شکی این
معلق,لونجان
حفظ کنند,برجاه دارگ
پایداری,دائمی
کوله پشتی,دزی
بلعیدن,پلیک
مبادله,بدلی
عرق,هید
جارو کردن,روپگ
شیرین,شیرکن
رویاهای شیرین,وشین واب
متورم شدن,پراه روگ
شنا کردن,اوژناگ
گاز,چیکو
سویچ,بٹن
متورم,گوات گرگ
شمشیر,زهم
سمبل,چیدگ
ابراز همدردی,مهروانی
علائم,نشانی
سیستم,راهبند
برخورد با,رکهگ
برچسب زدن,ٹیگ
دم,لٹک
بردن,زوری برو
جور باشی,هیالداری بکن
در آوردن,درکنگ
گرفته شده,زرتگ
گپ,ٹئوک
پرحرف,گپو
قدبلند,دراج
نل,نل
ذایقه,تام
خوش طعم,تامدار
درس داد,دربرائینت
چای,چاه
آموزش دهید,درس دئیگ
معلم,استاد
تیم,ٹولی
اشک,ارس
اذیت کردن,کجینگ
فن آوری,ٹیکنالوجی
دندان ها,دنتان
گفتن,بگوش
به من بگو,منا بگوش
خلق و خوی,زهرگرگ
معبد,بت‌‌هانه
موقت,اداروکی
ده,ده
ده هزار,ده هزار
مستاجر,کرایه دار
تمایل,مئیل
زمان فعل,اڑاند
تنش,بی ارامی
چادر,تمبو
آزمایشی,ادارکی
مقررات,شرت
بسیار بد,ترسناک
قلمرو,دیار
تشکر از صبر تان الی اینکه ما در مورد محموله تحقیق کنیم,تان وهدیکه ما شپمنٹ ء پٹ ء پول ء کنین تئی ودار کنگ ء منت وار
تشکر زیاد,تئی باز منت وار
تشکر زیاد از شما,تئی باز باز منت وار
برای استفاده از برنامه ما متشکریم,مئی ایپ کارمرزکنگ
به این معنا که,ایش انت که
از آنها,اهانی
خودشان,وت
تئوری,تهیوری
آنجا,اودا
وجود دارد,اودا این
آنجا است,اودا این
با این حال,پمیشکه
اینها,ای
آنها,ا
آن ها هستند,ا انت
فربه,بز
دزد,دز
نازک,لاگرین
چیز,چیز
اشیا,چیزان
فکر کردن,جێڑگ
سوم,سیمی
تشنه,تنیگ
سیزده,سینزده
سی,سی
به طور کامل,شرین وڑی ء
اگرچه,اگان
فکر,جیڑگ
متفکر,چار
اندیشه ها,هیالان
هزار,هزار
نخ,بندیک
تهدید,بیهار
تهدید کند,پاسکینگ
سه,سئی
آستانه,پیژگاه
هیجان زده,سک گلین
رشد کردن,دیمروی
گلو,گٹ
از طریق,چه
در طول,سرجمینان چه
شست,دزنشان
پنجشنبه,پنچ شمبی
تیک بزنید,ٹک
جزر و مد,چول
منظم,ساپ
ببر,گرک
تیگرینیا,ٹگرینیا
زمان,ساهت
نکات,شئور
بافت,ساپ کنوک
تا,ء
نان تست,ٹوسٹ
امروز,مرچی
کودک نوپا,کسانین زهگ
انگشتان پا,لنکک
باهم,هوری ء
توالت,پوهیگ
گفت,گوشتگ
تحمل کردن,سگگ
گوجه فرنگی,چماٹا
فردا,باندا
امشب,دوشی
گرفت,زرت
دندان,دنتان
بالا,برز
پاره شده,درگ
شکنجه,ازیت
دست زدن به,دست جنگ
تور,تروتاب
به سمت,نیمگ ء
بطرف,نیمگ ء
حوله,ٹوال
شهرک,شهر
زهرآگین,زهرین
پی گیری,رندگیری
پیمایش,ٹریک
سنت,دود
سنتی,ربیدگ
ترافیک,رو
دنباله,رنگ
تعلیم,هێلکاری
صفات,هرابی
انتقال,بدلی
ترجمه کردن,رجانک
حمل و نقل,سرء پر
تله,دام
زباله ها,گسڈانی ٹوکری
سینی,چاه
خزانه,زر امبار
علاج کردن,پیش آهگ
معالجه,الاج
درخت,درچک
قضیه محکمه,کیس
فوت و فن,وڑ
تلاش کرد,جهد کرت
ماشه,سروک
کوتاه کردن,تراشگ
مشکل,ڈکه
کامیون,ٹرک
تنه,پیتی
سونگا,تسونگا
لوله,ٹیوب
سه شنبه,سئی شمبی
شهریه,ٹیوشن
بوقلمون,ترکی
زردچوبه,الگدار
لاک پشت,کپیس
معلم خصوصی,وانینوک
دوازده,دوازده
بیست,بیست
بیست و یک,بیست
توئی,توئی
دو,دو
معمول,لس
نازیبا,بدرنگ
نهایی,اسری
چتر,چتر
قادر نیست,لائک نه انت
کاکا,ناکو
ناخودآگاه,بی هوش
دست کم گرفته شده,کم درجه بندی
فهمیدن,سرپد بوگ
درک کرد,سرپد بوتان
متاسفانه,بدبهتی
لباس فرم,چرنی
یکتا,یکتا
واحد,واحد
دانشگاه,مزنشهدربرجاه
ناشناخته,نزانتگین
الی غیر,تان وهدیکه
الی,تان وهدیکه
غیر معمول,ٹاه جنگ
به شما بستگی دارد,تئی سرا انت
تمدید,نوکاز
ارتقا,دیمروی
ناراحت,مونجا
شهری,شهری
عاجل,زوتین
ما,ما
استفاده,کارمرز
استفاده شده,کارمرز کنگ بیت
مفید,دردوار
بلا استفاده,بیکار
معمولی,همک وهدی هساب ء
معمولا,لس وڑان
سودمندی,پائدگ
واکسیناسیون,تکه
واکسین,ٹکه
خلاء,هورکین هند
دره,کوه
ارزش,نهاد
گلدان,گلدان
وسیع,شاهیگان
سبزی,سبزی
سبزیجات,سبزی
وسیله نقلیه,اۆلاک
فروشنده,بها کنوک
زهر,زهر
ریسک,گولگ
تایید کنید,تچک ئی بکن
همه کاره,هر کار
نسخه,تهر
عمودی,برزادی
احساسات,وائبز
شریر,شیتانی
ویدئو,تامر
شرور,ڈوهدارین
سرکه,بگاه بوک
قدیمی,انگور
خشونت,شدت
ویروسی,شنگ
باکره,جنین چک
مجازی,مجازی
تقوا,جوانی
بازدید,تروتاب
دیداری,چارگ ء
واژگان,لبز
جلد,کساس
داوطلب,هواچک
استفراغ,شانگ
آسیب پذیر,‏نازروک
حق الزحمه,مز
دستمزد,مز
کمر,سرین
انتظار,ودار
پیشخدمت,ورگجاه
از خواب بیدار,اگه
بیدار شو,پادا
قدم زدن,گام جنگ
دیوار,دیوال
پرسه زدن,ترگ
می خواهم,لوٹ
خواستن,لوٹ
تحت تعقیب,لوٹ اتگ ات
جا رختی,الماری
انبار,گدام
هشدار دادن,شیواری
جنگجو,یل
بودن (در گذشته),بوتگان
شستشو,شودگ
ضیاع,بێرانی
آب,اپ
هندوانه,کوٹگ
ما هستیم,ما این
ما میتوانیم,ما کرت کن انت
ضعیف,نزور
ضعف,نزوری
پوشیدن,گورا کنگ
آب و هوا,موسم
عروسی,اروس
چهارشنبه,چارشمبی
علف هرز,کاه
هفته,هپتگ
تعطیلات آخر هفته,هپتگ
وزن,وزن
خوش آمدید,وشاتکی
بودند,بوتگین
غرب,روبرکت
نمناک,میسگ
نهنگ,ویل
چه,چی
در مورد شما چه,تئی بابت ء چی
شما چه میکنید,تو چی کنگ ء ئی
شما فعلا چه میکنید,تو انون چی کنگ ء ئی
الان در حال انجام چه کاری هستید,تو ای ساعت ء چی کنگ ء ئی
چه کار میکنی,تو چی کن ئی
برای امرار معاش چه کار می کنی,تو په وهد ء تیلانک دیگ ء چی کن ئی
منظور تان چیست,تئی مراد چی این
چه چیزی می خواهید,تو چی لوٹ ئی
چه شد,چی بوت
چه است,چی ئی
این چیه,ای چی یی
شغل شما چیست,تئی کار چی این
نام شما چیست,تئی نام کئی انت
چه خبر,چی بوگ
اسمت چیه,تئی نام کئی این
هرچه,هرچی
گندم,گله
چرخ,پرگ
چه وقت,کدی
هر زمان که,کجام وهدء
کجا,کجا
شما کجا هستید,تو کجا ئی
شما از کجا هستید,تو چه کجا ئی
شما کجا هستید؟,تو انون کجا ئی
کجا زندگی می کنید,تو کجا نشتگ ئی
کجاست,کجا این
در حالیکه,وهدیکه
آیا,تری
در حالی,وهدیکه
نجوا,هلوت
سوت زدن,پیک
سفید,اسپیت
چه کسی,کئی
شما چه کسی هستید,تو کی ئی
که است,کئی این
این چه کسی است,ای کئی انت
از چه کسی,همائی ء
چرا,پرچا
چرا که نه,پرچا انان
بیوه,جنوزام
زن,جن
اراده,کیپ
پیروزی,باج
پنجره,دریگ
بادی,گوات
شراب,ترنداپ
زمستان,سارتی
سیم,ویر
خواهش,واهشت
بهترین ها را برای شما آرزو می کنم,امیت کنان شما دراه وش ات
جادوگر,جنینین جن
با,گون
دور شدن,پدا بزور
برداشت از حساب,واتری
بدون,ایشی
شاهد,شاهد
شوخ,هوشمند
گرگ,گرک
زنان,جنین
برنده شد,باج برت
نمی خواهد,نه کنت
حیرت,هیرانگی
پشم,پژم
کلمه,لبز
کلمات,لبزان
کار کردن,محنت
جهان,کوڑه
کرم,کرم
پوشیده,گورا کرتگین
نگران بودن,چرت
بدتر,گنتر
عبادت,ابادت
بدترین,گنترین
ارزشش را دارد,ایشی
شایسته,لائک
خواستن (در گذشته),کنت
زخم,ٹپ
واه,زبردست
بسته بندی کردن,پتا
مچ دست,مچ
نوشتن,نبیسگ
اینجا بنویس,ادا نبشته بکن
نوشته شده است,نبشته این
نوشت,نویس اتگ
حیاط,گز
خمیازه,جمگ
بله,هو
سال,سال
سال ها,سال ها
مخمر,همیر
رنگ زرد,زرد
بله عزیزم,هو چک
بلی عزیز,هو جانو
بلی عشق من,هو منی جان
بله حتما,هو الم
دیروز,زی
تا به حالی,انوگ
قبول کردن,پێدایش
شما,تو
شما هستید,تو ئی
شما زیبا هستی,تو زیبدارئی
بسیار زیبا هستی,تو سک جلوه دئی
قابل نداره,ترا وشاتک کنین
شما میتوانید,تو کرت کن ئی
میدونی,تو زان ئی
تو هم همینطور,تو هم
خواهش می کنم,ترا وشاتک گوشین
جوان,ورنا
از شما,تئی
خودت,وتارا
جوانان,ورناه
خواهش میکنم,ترا وشاتک گوشان
صفر,زیرو
